,AR
1106,SLC7A11
1107,SLC7A2
1108,SLC7A5
1109,SNORD3A
1110,STC1
1111,STC2
1112,TFPI
1113,THRA
1114,THRB
1115,TMEM238
1116,TSHB
1117,TTLL3
1118,ZNF460
1119,AMBP
1120,APOD
1121,C8G
1122,FABP1
1129,LCN1
1131,ORM1
1133,HSD11B1
1143,HSD11B2
1148,SGK1
1151,APOE
1155,LDLR
1159,NOS3
1161,PTGER3
1164,PTGER4
1168,CYP2B2
1178,CALCA
1179,GPX1
1180,GUCY1A1
1185,GUCY1B1
1190,MT1
1191,MT1A
1193,TYR
1194,ARC
1196,ACTA2
1197,ADGRE1
1205,ANGPT1
1206,ANGPT2
1208,ARG1
1212,ARRB2
1219,CCN2
1223,CCNE1
1225,CD68
1234,CHI3L3
1237,CLDN5
1238,CNR2
1247,F2
1281,F3
1282,GFAP
1286,HTR2A
1288,ID3
1289,IFNA
1292,IKBKG
1293,IL10
1304,IL12B
1319,IL4
1325,INS1
1327,IRF7
1329,KDR
1331,MAP3K7
1338,MDK
1339,MLKL
1341,MMP2
1342,MPO
1343,MRC1
1357,PRKACA
1359,RAPGEF3
1366,TBK1
1369,TIE1
1388,VEGFB
1389,VEGFC
1391,MGST1
1393,CA2
1398,ARNT
1399,ARNT2
1401,C3
1406,GSTA2
1414,NQO1
1417,OBP2
1422,DAO
1425,PCK1
1426,HPGD
1432,AGT
1434,CYP11B1
1436,HSD3B
1441,TRPV2
1442,UGT1A9
1443,CYP3A95
1446,CASP10
1453,TOP1
1459,CYP2K22
1460,ELA2
1466,ITLN2
1467,SLN35-A
1468,SULT2ST3
1483,CYP4F4
1484,CYP4F5
1491,EIF2S1
1500,ERN1
1506,INS
1508,INSR
1510,NPPA
1517,AKR1C14
1520,HRH3
1521,MC4R
1523,ABL1
1524,ADARB2
1525,ADCY6
1526,ADCY9
1527,AHRR
1529,AMOTL1
1530,APC2
1531,ARHGAP35
1532,AXIN1
1533,BCAS4
1535,BCR
1536,BMP6
1537,BMP7
1538,BRAF
1539,CACNA1A
1540,CACNA1B
1541,CACNA1C
1542,CACNA1H
1543,CACNA1I
1544,CACNA2D1
1545,CACNG3
1546,CACNG6
1547,CACNG8
1548,CAMTA1
1549,CCDC6
1550,CDC25B
1551,CDH4
1552,CEL
1553,CIITA
1554,CLDN14
1555,COL18A1
1556,COL27A1
1557,CRK
1558,CRTC1
1559,CSNK1E
1560,CTBP1
1561,CTBP2
1562,CTNNA2
1563,CUL2
1564,DAPK1
1565,DCC
1566,DLG2
1567,DLGAP2
1568,DVL1
1569,DVL3
1570,ELFN1
1572,EPB41
1573,EPPK1
1574,EXOC3
1575,F11-AS1
1579,FCGR2A
1580,FGF12
1581,FGF18
1582,FGF21
1583,FGF22
1584,FGF6
1585,FH
1587,FOXK2
1588,FRMD6
1589,GAS6
1590,GAS6-AS1
1591,GDF5
1592,GDF6
1593,GLI2
1594,GLUL
1595,GNA11
1596,GNAI1
1597,GNAI2
1598,GNAS
1599,GNB2
1600,GNG7
1601,GP6
1602,GRIA3
1603,GRIK4
1606,GRIN3A
1608,HSPA2
1611,ITPR2
1612,JAM3
1613,JARID2
1615,KLHL30
1616,LAMA1
1617,LAMB1
1618,LINC01237
1619,LLGL1
1620,LOXHD1
1621,LPAR2
1622,LPAR3
1623,LRRC14B
1624,MAD1L1
1625,MAP3K13
1626,MAP3K5
1627,MAP3K6
1628,MAPK12
1629,MAPK8IP3
1630,MCPH1
1631,MKNK2
1632,MOB1A
1633,MYH10
1634,MYH14
1635,MYLK
1636,NAT8L
1638,NFATC2
1639,NRBP2
1640,NTRK1
1642,ODF3L2
1643,P2RX1
1644,PARD6G
1645,PATJ
1646,PDGFRA
1647,PER1
1648,PIAS2
1649,PIAS4
1650,PIK3R2
1651,PIP5K1C
1652,PLEKHG5
1653,PLEKHN1
1654,PMEPA1
1655,PPP2R2A
1656,PPP2R2B
1657,PPP2R2C
1658,PRDM16
1660,PRKCQ
1661,PRKCZ
1662,PRKG1
1663,PTGIR
1664,PTPRN2
1665,PWWP2B
1666,RAC3
1667,RAPGEF2
1669,RASGRF2
1670,RET
1671,RPS6KA2
1672,RPS6KA5
1673,RYR1
1674,SHANK2
1675,SHH
1676,SHROOM1
1677,SLC1A7
1678,SPATA21
1679,SPIRE2
1680,TAOK1
1681,TAOK3
1682,TBXA2R
1683,TBXAS1
1684,TCF7L1
1685,TEAD3
1686,TELO2
1687,TJP3
1688,TNRC18
1689,TRAF4
1690,TRAPPC9
1691,TUBB4A
1692,UGT1A1
1693,UGT1A10
1694,UGT1A3
1695,UGT1A4
1696,UGT1A5
1697,UGT1A6
1698,UGT1A7
1699,UGT1A8
1701,UGT2A1
1702,UGT2A2
1703,VHL
1704,VSTM2L
1705,VWF
1707,WNT3A
1708,WNT5A
1709,WNT9A
1710,WWTR1
1711,YES1
1712,YIPF4
1713,YWHAE
1728,MMP1
1729,MMP13
1734,SIRT1
1735,SLC2A5
1736,SRC
1737,CYP2C29
1742,CNR1
1760,SST
1768,TRPV1
1774,PDYN
1776,PENK
1778,POMC
1780,LHB
1781,TACR3
1784,CHRM2
1786,CHRM3
1790,SSTR1
1791,HLTF
1792,PRL
1804,CYP1A4
1805,CYP1A5
1839,CYP1A
1842,IGF1
1846,PRKAA1
1874,HTR2C
1892,SIGMAR1
1906,ADCYAP1
1907,ATG9A
1909,BECN1
1910,CASR
1911,DAPK2
1913,F2RL1
1914,GRM1
1916,HSPA5
1918,LEP
1921,MYL9
1922,NFATC1
1926,ORAI1
1928,SQSTM1
1929,STIM1
1930,TRPC3
1931,TRPC6
1934,TUBB3
1936,SNCA
1943,DRD3
1946,MAOB
1948,PLA2G4A
1993,AREG
1994,CSK
2007,IL5
2011,TIPARP
2018,API5
2020,BCL2L11
2021,BIK
2022,BIRC3
2024,BNIP2
2026,CASP12
2030,CD40
2031,CD40LG
2032,CDH1
2036,CIDEA
2037,DFFB
2042,FAIM
2044,HRK
2048,LHX4
2049,LTA
2050,LTBR
2051,MCL1
2054,NAIP2
2055,NFKB1
2056,PYCARD
2057,SMAD2
2058,SMAD3
2059,SPHK2
2071,TNFRSF10B
2072,TNFRSF11B
2073,TNFRSF1A
2074,TNFRSF1B
2076,TNFSF12
2077,TP53BP2
2079,TP73
2080,TRADD
2081,TRAF1
2082,TRAF3
2089,HTR1A
2090,DRD4
2091,ADRA1A
2092,ADRA1B
2093,ADRA1D
2096,ENPP2
2099,NFE2L2
2100,PPP3CA
2103,CYP24A1
2104,VDR
2108,EGF
2111,HSF1
2119,PXN
2127,LAMC3
2129,ATP2B1
2135,AFP
2136,CA1
2138,EPHB4
2141,ADORA2A
2142,ALAS1
2145,CYB5A
2151,CYP3A23-3A1
2152,FECH
2155,NOS1
2157,A2M
2158,AARD
2159,ABCA1
2160,ABCA8A
2161,ABCB1A
2162,ABCB1B
2163,ABCB4
2164,ABCC3
2165,ABCD3
2167,ABCG5
2168,ABHD15
2169,ABHD5
2170,ABI3
2171,ABI3BP
2172,ABLIM1
2173,ACKR4
2174,ACOT1
2175,ACOX2
2178,ACOXL
2179,ACVR2B
2180,ADAM15
2181,ADAMDEC1
2182,ADAMTSL2
2183,ADAT3
2184,ADGRL4
2185,ADM
2186,ADPRH
2187,ADRB1
2188,ADRB2
2189,AEN
2190,AFG1L
2191,AGTR1A
2192,AHCYL2
2209,AIFM2
2211,AK4
2212,AKR1B1
2217,ALDOB
2218,ALPL
2219,ALS2
2221,AMACR
2222,ANLN
2223,ANXA8
2224,APOC3
2226,APPL1
2227,AQP1
2233,ARHGAP26
2234,ARHGEF26
2235,ARL4A
2236,ARL4D
2237,ARMCX4
2238,ARNTL
2239,ARRDC4
2240,ARSG
2241,ART3
2242,ART4
2243,ASAP2
2244,ASF1B
2245,ASGR1
2246,ASNS
2248,ASPM
2249,ATF3
2250,ATF5
2251,ATG4C
2252,ATP1A2
2253,ATP8B5
2254,AURKA
2255,AVPR1A
2256,BACE2
2257,BAG3
2258,BAIAP2
2259,BATF
2261,BBC3
2262,BCAN
2264,BCL3
2265,BCL6
2266,BCL6B
2267,BCL7C
2268,BEAN1
2269,BHLHE40
2270,BIN2
2272,BMPR1B
2273,BNIP3
2274,BOK
2275,BST2
2276,BTG1
2277,C1QB
2279,C1QTNF5
2280,C1QTNF7
2281,CA3
2282,CAD
2283,CALCR
2284,CAPN8
2285,CAPRIN1
2287,CAR8
2288,CARHSP1
2291,CCDC162
2293,CCL19
2294,CCM2L
2295,CCN1
2297,CCN4
2298,CCN5
2299,CCNA2
2300,CCNB1
2301,CCNB2
2303,CCNF
2304,CCNG1
2305,CCNJL
2306,CCR2
2307,CD151
2308,CD1D1
2309,CD200
2310,CD24A
2311,CD34
2312,CD38
2313,CD63
2314,CD81
2315,CDC20
2316,CDCA5
2317,CDCA8
2319,CDH17
2321,CDK1
2323,CDKN3
2324,CDT1
2325,CEACAM5
2326,CEBPB
2328,CEMIP2
2329,CENPE
2330,CENPK
2332,CES2B
2334,CES2G
2335,CFAP69
2336,CFD
2337,CFLAR
2338,CGREF1
2339,CHAF1B
2340,CHD2
2341,CHKA
2342,CHN2
2343,CHORDC1
2344,CHST5
2346,CKAP2
2347,CKS1B
2348,CLCN2
2349,CLDN7
2352,CLDND1
2353,CLEC1A
2354,CLEC1B
2355,CLEC4D
2356,CLMN
2357,CLOCK
2358,CLPX
2359,CLSTN3
2360,CMTM4
2361,COL4A1
2362,COL4A2
2364,COLQ
2365,COMMD3
2366,COQ10B
2367,CP
2368,CPE
2369,CPPED1
2370,CPTP
2371,CRABP2
2372,CREBL2
2374,CRLF2
2375,CROT
2376,CRY2
2377,CRYM
2378,CSF1
2380,CTNND2
2381,CUTAL
2382,CX3CL1
2383,CXCL12
2384,CXCL5
2385,CXCR7
2440,CYP26B1
2448,CYP2S1
2449,CYP3A11
2450,CYP7B1
2451,CYS1
2452,CYYR1
2453,DACH1
2454,DBI
2456,DCAF4
2457,DCHS1
2458,DCLRE1A
2459,DDAH1
2460,DDIAS
2462,DDIT4L
2463,DDO
2464,DEDD2
2465,DENN2B
2466,DESI2
2467,DHH
2468,DISP2
2469,DNAH7A
2470,DNAI1
2471,DNAI4
2473,DNAJB1
2474,DNMT3B
2475,DNTTIP1
2476,DSP
2477,DTX4
2478,DUSP1
2481,DYRK3
2482,DYSF
2483,E2F7
2484,E2F8
2485,EAR10
2486,ECE1
2487,ECM1
2488,EDNRB
2489,EFNA1
2490,EFNB2
2492,EHHADH
2495,EI24
2496,EMCN
2497,EMID1
2498,EMP1
2499,ENKUR
2501,EPHA4
2502,EPHB6
2508,ERBB2
2509,ERICH3
2510,ESM1
2511,ESRRA
2512,ETHE1
2514,EXOC3L2
2515,EXOC4
2518,FAM107A
2519,FAM162B
2520,FAM166B
2521,FAM169B
2522,FAM181B
2523,FAM53B
2524,FAM76A
2525,FASN
2526,FBLN1
2527,FBXO5
2528,FEN1
2529,FGA
2530,FGF1
2531,FGF9
