,AR
256223,SNCGB
256235,SNTG2-AS1
256236,SNU13A
256247,SOCS2-AS1
256257,SOD-1
256262,SODH-2
256282,SOX9-AS1
256298,SPART
256318,SPE-11
256319,SPECC1L-ADORA2A
256322,SPEM1
256323,SPETEX-2F
256329,SPHKAP
256345,SPRR2H
256346,SPRR2I
256366,SRB-12
256367,SRB-13
256368,SRBC-11
256369,SRBC-70
256379,SRH-145
256380,SRH-187
256381,SRH-22
256382,SRI-27
256390,SRSF3A
256391,SRSX-13
256392,SRX-17
256393,SRXA-2
256395,SRY
256396,SRZ-74
256398,SSBP3-AS1
256405,SSP-10
256406,SSP-11
256408,SSP-19
256409,SSP-31
256411,SSQ-1
256412,SSQ-4
256437,STAG3L5P-PVRIG2P-PILRB
256443,STARD4-AS1
256449,STATH
256468,STKLD1
256474,STPG2
256475,STR-108
256476,STR-145
256485,STX16-NPEPL1
256492,STXBP1B
256506,SUGT1P3
256507,SUGT1P4-STRA6LP-CCDC180
256523,SVS3B
256529,SYN2A
256530,SYN2B
256547,SYS1-DBNDD2
256552,SYT1A
256553,SYT6A
256559,T10G3.4
256560,T25B9.4
256562,TAAR7H
256581,TAGAP-AS1
256589,TAS2R114
256591,TAS2R124
256615,TBX10
256619,TBX22
256637,TCL6
256647,TDRKH-AS1
256658,TEKT3
256660,TEKTIP1
256662,TEN1-CDK3
256663,TENM3-AS1
256682,TEX13B
256686,TEX264A
256712,TGIF2-RAB5IF
256728,THBS3-AS1
256731,THBS4A
256790,TMED2-DT
256794,TMED7-TICAM2
256811,TMEM147-AS1
256839,TMEM233
256882,TMPRSS11D
256884,TMPRSS3A
256891,TMX2P1
256931,TNXA-PS1
256939,TOMM40P4
256963,TPBPA
256970,TPI1P2
256984,TPTE2P5
256985,TPTEP2
257021,TRIM3B
257079,TSNAX-DISC1
257091,TSPY26P
257096,TSSC2
257141,TUBA5P
257142,TUBA7L
257147,TUBB2
257193,UBBP4
257199,UBE2D1A
257202,UBE2F-SCLY
257228,UCN3
257234,UGT-10
257235,UGT-13
257238,UGT-2
257242,UGT-34
257243,UGT-48
257261,UPK2
257279,USP32P1
257281,USP32P3
257326,VLDLR-AS1
257327,VMN1R114
257328,VMN1R207
257329,VMN1R227
257330,VMN2R33
257331,VMN2R73
257332,VOM1R14
257333,VOM1R2
257334,VOM1R33
257335,VOM1R36
257336,VOM1R46
257337,VOM1R6
257338,VOM1R67
257339,VOM1R76
257340,VOM1R95
257341,VOM2R11
257342,VOM2R15
257343,VOM2R18
257344,VOM2R19
257345,VOM2R24
257346,VOM2R27
257347,VOM2R29
257348,VOM2R31
257349,VOM2R32
257352,VOM2R60
257353,VOM2R8
257361,VPS33B-DT
257372,VSNL1A
257373,VSNL1B
257379,W02B12.12
257380,WAC-AS1
257412,WDR87BP
257449,XLR5C
257459,XRRA1
257490,ZBTB11-AS1
257547,ZFAND2A-DT
257557,ZFP18
257571,ZFP382
257601,ZFP91-CNTF
257614,ZK1248.4
257615,ZK809.1
257620,ZKSCAN8P1
257630,ZNF135
257632,ZNF137P
257635,ZNF169
257643,ZNF230-DT
257644,ZNF232-AS1
257646,ZNF236-DT
257675,ZNF491
257681,ZNF534
257683,ZNF546
257689,ZNF56P
257691,ZNF578
257692,ZNF594-DT
257696,ZNF625-ZNF20
257704,ZNF701
257708,ZNF710-AS1
257710,ZNF726
257714,ZNF771
257722,ZNF835
257723,ZNF843
257727,ZNF888
257728,ZNF8-DT
257731,ZNNT1
257737,ZSCAN1
258176,HLA-DRB6
258503,ISG20L2
259019,GLC-1
259021,GLC-2
259212,BMP7A
259348,FAM66C
259354,FIBH
259355,FIB-L
259653,MIR23
259664,MRP
259844,PARK
259865,PLOD1A
260009,TAS2R115
260010,TAS2R131
260108,CRF
260348,LIPO3
260377,SLC7A13
260784,UQCR2
260793,BIDA
261796,TSPYL5
261889,ABCA10
261893,ABCA16
261938,ABCC11
261942,ABCC13
262016,ABITRAM
262096,ACNATP
262202,ACTRT1
262224,ADAM20
262226,ADAM21P1
262232,ADAM29
262302,ADGB
262334,ADGRL3-AS1
262378,ADORA2A-AS1
262546,AIM1L
262552,AIR
262560,AKAIN1
262657,ALDH1L1-AS2
262796,ANGPTL5
262848,ANKRD20A9P
262852,ANKRD26P1
262853,ANKRD26P3
262855,ANKRD30A
262859,ANKRD30BP2
262878,ANKRD66
262895,ANO2
262965,AOX3P-AOX2P
263041,APOBEC3F
263048,APOC1P1
263078,APRIN
263092,AQP7P4
263103,ARAP1-AS2
263153,ARHGAP36
263180,ARHGEF26-AS1
263267,ARRDC3-AS1
263279,ARSH
263304,ASB17
263382,ATAD3C
263466,ATP2B2-IT2
263541,ATRIP-TREX1
263564,ATXN8OS
263618,BABAM2-AS1
263634,BAGE2
263635,BAGE3
263636,BAGE4
263637,BAGE5
263659,BARX1-DT
263692,BBOX1-AS1
263790,BDNF-AS
263809,BFSP2-AS1
263811,BHLHE22
263847,BLACAT1
263849,BLID
263903,BPESC1
263912,BPIFB1
263913,BPIFB3
263916,BPY2
263917,BPY2B
263918,BPY2C
263948,BRS3
263965,BSX
264000,BTNL3
264018,C10ORF67
264019,C10ORF71
264020,C10ORF71-AS1
264030,C11ORF80
264034,C12ORF42
264038,C12ORF63
264040,C13ORF42
264041,C14ORF119
264042,C14ORF178
264058,C17ORF99
264060,C18ORF32
264066,C1H11ORF54
264068,C1ORF100
264069,C1ORF105
264072,C1ORF127
264074,C1ORF141
264078,C1ORF186
264091,C1ORF68
264092,C1ORF87
264114,C20ORF173
264115,C20ORF202
264117,C20ORF204
264118,C20ORF96
264128,C2ORF16
264129,C2ORF27A
264134,C2ORF83
264141,C3ORF22
264143,C3ORF49
264156,C4ORF17
264163,C5ORF22
264165,C5ORF60
264167,C5ORF67
264173,C6ORF118
264186,C80406
264201,C8ORF86
264204,C9ORF131
264205,C9ORF153
264207,C9ORF43
264213,CA15P1
264222,CA5BP1
264286,CADM2-AS2
264333,CAND1.11
264373,CARD17
264390,CASC8
264392,CASC9
264406,CASP16P
264463,CATSPER1
264465,CATSPERE
264468,CATSPERZ
264514,CCAT2
264517,CCDC110
264532,CCDC144A
264543,CCDC162P
264558,CCDC196
264559,CCDC197
264564,CCDC27
264597,CCDC84
264752,CD200R1L
264770,CD300C
264772,CD300LD-AS1
264777,CD33
264819,CD81-AS1
264836,CDC14C
264915,CDH18-AS1
265023,CDRT15
265024,CDRT15P1
265033,CDX4
265034,CDY1
265035,CDY1B
265036,CDY2A
265037,CDY2B
265052,CEBPA-DT
265139,CEP170P1
265182,CES1L2
265202,CFAP299
265204,CFAP418-AS1
265213,CFAP58
265228,CFAP99
265233,CFC1B
265308,CHKB-CPT1B
265371,CIBAR1-DT
265385,CIRBP-AS1
265443,CLEC17A
265476,CLLU1
265493,CLPSL1
265581,CNPY3-GNMT
265636,COL18A1-AS2
265648,COL25A1
265683,COL6A4P1
265787,CPEB2-DT
265838,CPXCR1
265862,CRAT37
265899,CRISP3
265939,CRYGC
265950,CRYM-AS1
265983,CSN1S2AP
265984,CSNK1A1L
266006,CST11
266012,CSTL1
266016,CTAGE4
266138,CXXC4-AS1
266168,CYLC1
266169,CYLC2
266173,CYMP
266222,CYP1B1-AS1
266267,CYP2A7P1
266332,CYP3A37
266380,CYP4B7
266395,CYP4F30P
266398,CYP4F8
266405,CYP4Z2P
266431,DAAM2-AS1
266453,DAD1P1
266462,DAOA
266463,DAOA-AS1
266475,DAZ1
266477,DAZ3
266478,DAZ4
266494,DBX1
266500,DCAF13P3
266510,DCAF8L2
266521,DCDC2B
266522,DCHS2
266567,DDI1
266635,DEFA1B
266636,DEFA3
266639,DEFB105A
266640,DEFB105B
266641,DEFB106A
266642,DEFB106B
266643,DEFB107A
266645,DEFB113
266646,DEFB114
266648,DEFB116
266649,DEFB121
266650,DEFB122
266651,DEFB124
266652,DEFB126
266654,DEFB133
266755,DHRS4L1
266756,DHRS4L2
266814,DIPK2B
266819,DIRC1
266821,DIRC3
266846,DLEC1
266850,DLEU2L
266859,DLGAP1-AS4
266874,DLX6-AS1
266901,DMRTC1
266966,DNAJC25-GNG10
266967,DNAJC27-AS1
266971,DNAJC5G
266991,DNMBP-AS1
267018,DOCK8-AS1
267051,DPPA2P3
267056,DPY19L2P4
267097,DRD5P2
267181,DUX4L1
267183,DUX4L2
267184,DUX4L3
267185,DUX4L5
267186,DUX4L6
267187,DUX4L7
267188,DUXA
267287,EDDM13
267337,EFCAB8
267353,EGFEM1P
267399,EIF1B-AS1
267428,EIF3IP1
267494,ELOA2
267498,ELOVL2-AS1
267512,EMBP1
267528,EML2-AS1
267609,EP400P1
267659,EPHX1L
267749,ERV3-1-ZNF117
267750,ERVK3-1
267763,ESPNP
267798,ETOHD2
267863,EYS
267920,FABP5P3
267979,FAM124B
268007,FAM153CP
268018,FAM167A-AS1
268022,FAM170B
268035,FAM181A
268037,FAM181A-AS1
268064,FAM218A
268066,FAM221B
268076,FAM30C
268089,FAM66B
268101,FAM81B
268104,FAM83C
268120,FAM90A1
268121,FAM90A10
268277,FCRL6
268280,FCRLB
268425,FKBP9P1
268481,FMR1-AS1
268527,FOXB2
268531,FOXD4L1
268532,FOXD4L3
268533,FOXD4L6
268551,FOXN3-AS2
268584,FRG1BP
268585,FRG1-DT
268586,FRG2DP
268628,FTHL17
268672,FYTTD1P1
268696,G6PC2
268700,GAA2
268721,GACAT1
268732,GAGE2E
268762,GALNT8
268789,GARIN2
268797,GAS1RR
268803,GAS2L2
268854,GBP1P1
268911,GCSAML
268912,GCSAML-AS1
268978,GGTLC2
269006,GIOT1
269017,GJA10
269020,GJA8
269029,GJB7
269047,GLDCP1
269075,GLRA3
269124,GMDS-DT
269128,GML2
269140,GNA14-AS1
269167,GNG12-AS1
269201,GOLGA6A
269202,GOLGA6L1
269305,GPR158-AS1
269316,GPR6
269442,GRK7
269461,GS1-279B7.1
269465,GSDMCL2
269545,GSTT1L
269556,GSX2
269565,GTF2H2C
269566,GTF2H2C_2
269583,GUCA1C
269588,GUCY2EP
269590,GUCY2GP
269597,GUSBP15
269606,GYPB
269696,H3-5
269748,HAND2-AS1
269763,HAS2-AS1
269779,HBAA
269782,HBAD
269800,HCG26
269847,HECTD2-AS1
269868,HEPN1
269935,HIPK1-AS1
269964,HLA-DQB2
269965,HLA-DRB5
269967,HLA-F-AS1
270021,HMP19
270025,HNF1A-AS1
270060,HOATZ
270081,HORMAD2-AS1
270082,HOTAIR
270101,HOXB-AS3
270103,HOXC11
270117,HOXD13
270209,HSD3BP5
270218,HSFY1
270264,HTN3
270272,HTR3D
270286,HYAL3
270288,HYAL6P
270321,ID2B
270344,IDI2
270381,IFNA10
270382,IFNA14
270383,IFNA21
270385,IFNA7
270446,IGFL2-AS1
270452,IGK
270453,IGKV12-46
270455,IGLV1-44
270594,INHBA-AS1
270655,INTS4P1
270687,IQCJ
270706,IRAG1-AS1
270886,JAZF1-AS1
270918,KAL1
270934,KARS1P2
270943,KATNBL1P6
270994,KCNIP4-IT1
271013,KCNK15-AS1
271042,KCNQ1-AS1
271085,KDM4E
271116,KIAA1210
271121,KIAA1429
271124,KIAA1644
271171,KIF25
271245,KLHL1
271285,KLLN
271288,KLRC4
271347,KRT24
271350,KRT25
271351,KRT27
271354,KRT39
271356,KRT40
271364,KRT74
271373,KRT84
271375,KRT8P25
271376,KRT8P41
271378,KRTAP10-6
271379,KRTAP10-8
271380,KRTAP1-1
271381,KRTAP11-1
271382,KRTAP12-2
271383,KRTAP12-3
271384,KRTAP1-3
271386,KRTAP20-1
271387,KRTAP2-1
271388,KRTAP2-2
271389,KRTAP22-1
271393,KRTAP4-1
271395,KRTAP4-2
271397,KRTAP4-5
271400,KRTAP4-9
271401,KRTAP5-2
271402,KRTAP5-9
271403,KRTAP5-AS1
271405,KRTAP6-2
271406,KRTAP9-2
271407,KRTAP9-3
271408,KRTAP9-4
271410,KRTAP9-9
271470,LANCL1-AS1
271483,LARGE-AS1
271497,LBX1-AS1
271501,LCE1C
271504,LCE2B
271506,LCE2D
271509,LCE5A
271510,LCE6A
271516,LCN10
271559,LEF1-AS1
271589,LGALS7B
271611,LHFPL3-AS2
271643,LILRA1
271644,LILRA2
271645,LILRA3
271675,LINC00029
271678,LINC00158
271681,LINC00189
271682,LINC00200
271683,LINC00229
271684,LINC00237
271685,LINC00242
271686,LINC00244
271687,LINC00254
271688,LINC00260
271692,LINC00272
271695,LINC00301
271696,LINC00303
271698,LINC00307
271699,LINC00310
271700,LINC00314
271701,LINC00323
271703,LINC00326
271704,LINC00330
271705,LINC00448
271706,LINC00457
271708,LINC00466
271709,LINC00469
271710,LINC00470
271713,LINC00477
271714,LINC00479
271715,LINC00482
271716,LINC00486
271717,LINC00504
271718,LINC00511
271719,LINC00519
271721,LINC00534
271723,LINC00543
271724,LINC00574
271727,LINC00575
271728,LINC00578
271729,LINC00587
271730,LINC00589
271731,LINC00592
271732,LINC00598
271733,LINC00602
271734,LINC00620
271736,LINC00628
271739,LINC00643
271740,LINC00652
271741,LINC00661
271743,LINC00671
271746,LINC00824
271747,LINC00842
271750,LINC00938
271753,LINC00958
271756,LINC00971
271757,LINC00972
271758,LINC00989
271759,LINC00993
271760,LINC01012
271762,LINC01019
271763,LINC01020
271764,LINC01029
271765,LINC01036
271766,LINC01037
271767,LINC01039
271768,LINC01060
271771,LINC01096
271772,LINC01098
271774,LINC01102
271775,LINC01104
271777,LINC01119
271778,LINC01121
271779,LINC01122
271780,LINC01134
271783,LINC01152
271784,LINC01159
271785,LINC01169
271786,LINC01170
271787,LINC01187
271788,LINC01189
271789,LINC01194
271790,LINC01231
271791,LINC01235
271794,LINC01239
271795,LINC01250
271797,LINC01305
271798,LINC01307
271799,LINC01317
271800,LINC01324
271801,LINC01340
271802,LINC01411
271803,LINC01456
271804,LINC01465
271805,LINC01477
271806,LINC01483
271807,LINC01484
271808,LINC01492
271809,LINC01494
271811,LINC01505
271812,LINC01508
271814,LINC01525
271815,LINC01531
271816,LINC01551
271817,LINC01553
271819,LINC01555
271820,LINC01559
271821,LINC01561
271822,LINC01563
271823,LINC01566
271824,LINC01568
271825,LINC01579
271827,LINC01581
271828,LINC01586
271829,LINC01588
271831,LINC01597
271832,LINC01599
271833,LINC01608
271834,LINC01615
271836,LINC01683
271837,LINC01707
271838,LINC01720
271839,LINC01743
271840,LINC01752
271841,LINC01753
271842,LINC01754
271843,LINC01762
271844,LINC01772
271845,LINC01841
271846,LINC01842
271847,LINC01878
271848,LINC01883
271849,LINC01894
271850,LINC01915
271851,LINC01924
271852,LINC01947
271853,LINC01954
271854,LINC02008
271855,LINC02018
271856,LINC02026
271857,LINC02042
271858,LINC02044
271859,LINC02052
271860,LINC02092
271862,LINC02098
271863,LINC02107
271864,LINC02133
271865,LINC02162
271866,LINC02167
271867,LINC02177
271868,LINC02188
271869,LINC02192
271870,LINC02198
271872,LINC02212
271873,LINC02227
271874,LINC02236
271875,LINC02241
271876,LINC02245
271877,LINC02267
271878,LINC02288
271879,LINC02292
271880,LINC02314
271881,LINC02337
271882,LINC02346
271884,LINC02351
271885,LINC02363
271886,LINC02365
271887,LINC02376
271889,LINC02378
271890,LINC02387
271891,LINC02388
271892,LINC02389
271893,LINC02424
271894,LINC02443
271895,LINC02450
271896,LINC02476
271897,LINC02487
271898,LINC02505
271899,LINC02506
271900,LINC02511
271901,LINC02516
271902,LINC02520
271903,LINC02523
271904,LINC02533
271905,LINC02538
271906,LINC02567
271907,LINC02568
271908,LINC02613
271909,LINC02618
271910,LINC02627
271911,LINC02645
271912,LINC02691
271915,LINC02694
271916,LINC02762
271917,LINC02906
271918,LINC02907
271938,LL22NC03-63E9.3
271958,LMNB1-DT
272041,LRIG2-DT
272097,LRRC43
272104,LRRC52-AS1
272127,LRRIQ1
272154,LSP1P1
272156,LSP1P4
272191,LUZP2
272195,LY6B
272202,LY86-AS1
272219,LYRM4-AS1
272230,LYZL2
272279,MAGEA2
272280,MAGEA2B
272283,MAGEB1
272285,MAGEB3
272287,MAGEB6
272288,MAGEC2
272289,MAGEC3
272296,MAGEE2
272308,MAJIN
272311,MALRD1
272370,MAP3K14-AS1
272371,MAP3K15
272439,MAPT-AS1
272440,MARC1
272509,MBD3L3
272510,MBD3L4
272511,MBD3L5
272645,MEF2C-AS1
272659,MEIOSIN
272689,METTL21C
272691,METTL24
272710,MFF-DT
272729,MFSD4A-AS1
272818,MIR1
272823,MIR1185-2
272824,MIR1-1HG
272828,MIR1271
272844,MIR153-2
272849,MIR1911
272862,MIR2052HG
272874,MIR26A
272889,MIR3194
272894,MIR338
272897,MIR3619
272901,MIR3663HG
272902,MIR3667HG
272903,MIR3681HG
272912,MIR4283-1
272913,MIR432
272914,MIR4326
272915,MIR4435-2HG
272917,MIR4475
272918,MIR4500HG
272923,MIR4686
272924,MIR4700
272928,MIR499
272931,MIR5189
272933,MIR548F3
272934,MIR548H2
272935,MIR548XHG
272936,MIR5572
272939,MIR6085
272941,MIR646HG
272942,MIR6515
272943,MIR659
272944,MIR663AHG
272947,MIR6771
272948,MIR6825
272949,MIR6838
272950,MIR6864
272951,MIR6887
272957,MIR871
272959,MIR880
272960,MIR881
272962,MIR9-2
272963,MIR924HG
272969,MIRLET7F-2
272978,MIXL1
273008,MLN
273046,MMP24-AS1-EDEM2
273048,MMP26
273086,MORC1
273106,MOXD2P
273150,MRFAP1L1
273159,MROH5
273160,MROH6
273209,MS4A15
273214,MS4A6E
273216,MS4A8
273221,MSC-AS1
273234,MSL3P1
273259,MSTO2P
273272,MT1DP
273303,MTCO3P12
273372,MUC17
273417,MYCNUT
273479,MYO3A
273485,MYO5BP2
273530,N4BP2L2-IT2
273553,NACA2
273571,NAMPTP1
273633,NBPF6
273653,NCBP2L
273683,NCRUPAR
273719,NDST1-AS1
273733,NDUFA6-DT
273848,NEUROD6
273910,NFYC-AS1
273973,NKAPL
273974,NKAPP1
274009,NLRP8
274038,NOBOX
274082,NOVA1-DT
274089,NPAP1
274108,NPHP3-AS1
274130,NPSR1-AS1
274195,NRAV
274310,NUDT9P1
274351,NUTM2A-AS1
274401,ODAD1
274409,ODF3L1
274420,OGFR-AS1
274438,OLR1584
274442,ONECUT3
274443,OOSP2
274457,OR10A3
274458,OR10A6
274459,OR10AD1
274461,OR10J1
274462,OR10Q1
274463,OR10V1
274464,OR10X1
274465,OR10Z1
274466,OR11A1
274467,OR11G2
274468,OR11H1
274469,OR11H12
274470,OR11L1
274471,OR13C4
274472,OR13E8
274473,OR14C36
274474,OR1C1
274475,OR1D2
274476,OR1D4
274477,OR1G1
274478,OR1L1
274479,OR1L6
274481,OR1N2
274482,OR1Q1
274483,OR1S1
274484,OR1S2
274485,OR2A4
274486,OR2A7
274487,OR2AK2
274488,OR2AT4
274489,OR2B11
274491,OR2C3
274492,OR2F1
274493,OR2L13
274494,OR2M3
274497,OR2T2
274498,OR2T35
274499,OR2T4
274501,OR2W5P
274502,OR4A47
274503,OR4A5
274504,OR4C12
274505,OR4C13
274506,OR4C15
274507,OR4C16
274508,OR4C3
274509,OR4C45
274510,OR4C46
274511,OR4C6
274513,OR4F17
274514,OR4F4
274515,OR4F5
274516,OR4K14
274517,OR4K15
274518,OR4K2
274519,OR4K5
274520,OR4M1
274521,OR4M2
274522,OR4P4
274524,OR4S1
274525,OR4S2
274526,OR4X2
274528,OR51A4
274530,OR51D1
274531,OR51E1
274532,OR51G2
274533,OR51S1
274534,OR51V1
274535,OR52A4P
274536,OR52D1
274537,OR52E4
274538,OR52E8
274539,OR52L1
274540,OR52M1
274541,OR52N5
274542,OR52W1
274543,OR56A1
274544,OR56A5
274545,OR56B1
274546,OR5AR1
274547,OR5B17
274548,OR5C1
274550,OR5H1
274551,OR5H6
274553,OR5K1
274554,OR5K2
274555,OR5K4
274556,OR5M9
274559,OR5V1
274560,OR6A2
274561,OR6B3
274562,OR6C1
274563,OR6C2
274564,OR6C6
274565,OR6C74
274566,OR6C75
274567,OR6K3
274568,OR7A17
274569,OR7E156P
274570,OR7E24
274572,OR8B12
274573,OR8D1
274574,OR8D2
274577,OR8G2P
274578,OR8G5
274579,OR8I2
274580,OR8U1
274581,OR8U8
274582,OR9G1
274583,OR9G9
274584,OR9I1
274586,OR9Q1
274627,OSMR-DT
274670,OXCT2
274710,PABPC1L2A
274718,PACRG-AS1
274815,PARGP1
274860,PAX8-AS1
274886,PCARE
274928,PCDHA5
274942,PCDHB17P
274943,PCDHB18P
274955,PCDHGA11
274963,PCDHGA9
274976,PCGEM1
275007,PCNAP1
275018,PCOLCE-AS1
275102,PDHA2
275201,PER3P1
275241,PGA3
275270,PGM5-AS1
275417,PIN1P1
275420,PIN4P1
275438,PISD-PS1
275440,PISRT1
275441,PIT54
275456,PITX1-AS1
275460,PIWIL3
275471,PKD1L3
275546,PLBD1-AS1
275600,PLEKHM1P1
275608,PLGLA
275609,PLGLB1
275662,PLSCR5
275667,PLUT
275693,PMCHL1
275719,PNMA5
275721,PNMA6E
275842,POTEB
275843,POTEG
275844,POTEH
275853,POU4F3
275854,POU6F2
275869,PPBPP1
275871,PPDPFL
275873,PPEF1-AS1
276003,PRAC1
276004,PRAC2
276008,PRAMEF11
276009,PRAMEF2
276010,PRAMEF7
276055,PRH2
276155,PROSER2-AS1
276189,PRR21
276190,PRR23B
276191,PRR30
276196,PRR5-ARHGAP8
276218,PRSS30P
276220,PRSS40A
276221,PRSS45P
276222,PRSS58
276237,PRY
276249,PSG10P
276250,PSG11
276252,PSG2
276266,PSKH2
276336,PTCHD1-AS
276341,PTCSC2
276456,PTTG2
276473,PVALEF
276480,PWAR1
276489,PXDNL
276498,PYDC2-AS1
276570,RAB40A
276581,RAB6C
276582,RAB6C-AS1
276583,RAB6D
276602,RABGAP1L-DT
276604,RABGEF1P1
276721,RASAL2-AS1
276784,RBM15-AS1
276819,RBMXL2
276823,RBMY1B
276824,RBMY3AP
276897,REG1A
276917,RERGL
276962,RGD1560289
276963,RGD1561277
276982,RGPD4
276983,RGPD4-AS1
277111,RN45S
277112,RN7SL396P
277124,RNASE9
277179,RNF216-IT1
277180,RNF217-AS1
277183,RNF222
277209,RNR2
277211,RNU5E-1
277344,RPTN
277367,RRN3P1
277378,RRP7BP
277407,RT1-M4
277408,RT1-M5
277510,SAA3P
277540,SAMD7
277577,SBF2-AS1
277604,SCARNA12
277607,SCARNA5
277609,SCART1
277625,SCGB1D1
277630,SCGB2A1
277698,SDHAP3
277718,SEC14L1P1
277724,SEC14L6
277804,SEMG1
277811,SEPT7
277825,SEPTIN7P9
277835,SERF1B
277881,SERPINB9G
277968,SFTA3
277981,SGCZ
278007,SH2D1B
278074,SHLD2P1
278083,SHOX
278104,SIGLEC11
278114,SILC1
278126,SIRPG
278152,SKINT1L
278258,SLC22A10
278277,SLC22A31
278355,SLC25A51P1
278358,SLC25A5-AS1
278367,SLC26A4-AS1
278536,SLC52A1
278623,SLC9C1
278649,SLFN12L
278686,SMAD5-AS1
278729,SMIM10
278735,SMIM2
278757,SMR3B
278807,SNORA17B
278808,SNORA20
278809,SNORA22
278811,SNORA36A
278813,SNORA38B
278816,SNORA59A
278817,SNORA59B
278821,SNORA70
278823,SNORA77
278824,SNORA92
278826,SNORD103A
278828,SNORD108
278829,SNORD113-2
278834,SNORD115-10
278835,SNORD115-12
278836,SNORD115-15
278837,SNORD115-21
278838,SNORD115-34
278839,SNORD115-35
278840,SNORD115-38
278841,SNORD115-39
278842,SNORD115-5
278843,SNORD115-6
278844,SNORD115-7
278845,SNORD115-8
278846,SNORD115-9
278847,SNORD116-2
278848,SNORD116-3
278849,SNORD116-9
278850,SNORD121A
278854,SNORD26
278855,SNORD27
278856,SNORD28
278857,SNORD29
278858,SNORD30
278859,SNORD31
278861,SNORD50B
278862,SNORD66
278863,SNORD73A
278865,SNORD9
278866,SNORD90
278867,SNORD91A
278868,SNORD91B
278869,SNORD96B
278921,SNX31
278948,SOD2-OT1
278994,SOX1-OT
278996,SOX2OT
279038,SPANXD
279047,SPATA16
279054,SPATA22
279058,SPATA31C2
279059,SPATA31D5P
279069,SPATA8
279070,SPATC1L
279108,SPINK7
279118,SPO11
279159,SPS2
279255,SSR4P1
279260,SSTR5-AS1
279264,SSX9P
279296,ST7-AS1
279297,ST7-OT3
279298,ST7-OT4
279347,STARD7-AS1
279397,STK31
279424,STON1-GTF2A1L
279434,STRA8
279452,STX18-AS1
279471,STXBP5-AS1
279489,SUCLG2-DT
279498,SUGT1P1
279509,SULT
279533,SUMO1P1
279557,SUZ12P1
279564,SVIL2P
279573,SYCE1L
279574,SYCP2L
279620,SYT14P1
279647,TAAR3P
279721,TAS2R1
279729,TAS2R42
279730,TAS2R9
279775,TBC1D29P
279777,TBC1D3B
279779,TBC1D3F
279821,TBX5
279831,TCAM1P
279838,TCEAL4
279918,TEKT4P2
279938,TENT5D
279945,TERB2
279956,TESC-AS1
279976,TEX26-AS1
279979,TEX47
279980,TEX55
280025,TGIF2LY
280054,THAP8
280086,THSD1P1
280110,TIGIT
280157,TKTL2
280198,TLX1
280204,TM4SF1-AS1
280229,TMBIM7P
280247,TMCO5A
280259,TMEM105
280293,TMEM141
280298,TMEM14EP
280349,TMEM212
280391,TMEM51-AS1
280395,TMEM61
280407,TMEM72-AS1
280420,TMEM95
280435,TMPRSS11BNL
280452,TMSB15B
280552,TOB2P1
280639,TP53TG3
280640,TP53TG3B
280689,TRA
280726,TRBV5-4
280788,TRIM49
280806,TRIM6-TRIM34
280810,TRIM77
280974,TTC24
280988,TTC34
281006,TTC41P
281041,TTTY1
281043,TTTY15
281044,TTTY1B
281045,TTTY20
281046,TTTY6B
281047,TTTY8
281048,TTTY8B
281049,TTTY9A
281050,TTTY9B
281072,TUBBP6
281158,UBA1Y
281227,UBQLNL
281246,UCHL1-DT
281311,ULK4P1
281312,ULK4P2
281313,ULK4P3
281317,UMODL1-AS1
281328,UNC5B-AS1
281385,USP12-AS1
281398,USP2-AS1
281436,USP9Y
281484,VAV3-AS1
281535,VPREB1
281597,VWA3B
281631,WBP11P1
281635,WBSCR17
281664,WDR38
281678,WDR49
281687,WDR64
281702,WDR88
281711,WFDC6
281712,WFIKKN2
281751,WT1-AS
281757,WWC2-AS2
281769,XACT
281771,XAGE1A
281773,XAGE5
281866,ZBED3-AS1
281952,ZCWPW2
281972,ZER1
281982,ZFAT-AS1
282035,ZFP408
282036,ZFP422-PS
282041,ZFP496
282048,ZFP568
282065,ZFP664
282075,ZFP719
282093,ZFP862
282094,ZFP862-PS
282096,ZFP874A
282101,ZFP942
282137,ZIM2
282157,ZMIZ1-AS1
282176,ZNF142
282221,ZNF322P1
282233,ZNF365
282249,ZNF426-DT
282264,ZNF471
282283,ZNF524
282284,ZNF528
282286,ZNF536
282287,ZNF541
282289,ZNF560
282295,ZNF571-AS1
282298,ZNF577
282301,ZNF581
282318,ZNF619
282319,ZNF623
282328,ZNF664-RFLNA
282331,ZNF676
282339,ZNF700
282350,ZNF727
282362,ZNF793
282367,ZNF808
282374,ZNF831
282397,ZNRF2P1
282403,ZPBP
282409,ZRANB2-AS1
282410,ZRANB2-DT
282426,ZSCAN5B
282519,ACTR3-AS1
282591,ANAPC1P1
282599,ANKRD20A19P
282609,ANO8
282617,AP4B1-AS1
282623,APOBEC3D
282629,AQP12B
282676,ATP11AUN
282695,AXDND1
282704,B4GALT4-AS1
282708,BASP1-AS1
282726,BHLHE40-AS1
282734,BMP7-AS1
282738,BOK-AS1
282747,BSN-DT
282748,BTBD18
282755,C16ORF86
282756,C16ORF96
282759,C19ORF84
282767,C22ORF42
282770,C3ORF84
282780,C9ORF129
282786,CACNA1C-IT3
282810,CAPN14
282863,CD300H
282896,CECR3
282913,CFAP276
283021,CRTC3-AS1
283024,CRYZL2P-SEC16B
283106,DISC1FP1
