keyge,group,category,description
gene:100005019,genomic,gene,gene:100005019
gene:100005033,genomic,gene,gene:100005033
gene:100005049,genomic,gene,gene:100005049
gene:100005075,genomic,gene,gene:100005075
gene:100005083,genomic,gene,gene:100005083
gene:100005106,genomic,gene,gene:100005106
gene:100005140,genomic,gene,gene:100005140
gene:100005183,genomic,gene,gene:100005183
gene:100005195,genomic,gene,gene:100005195
gene:100005208,genomic,gene,gene:100005208
gene:100005227,genomic,gene,gene:100005227
gene:100005257,genomic,gene,gene:100005257
gene:100005261,genomic,gene,gene:100005261
gene:100005295,genomic,gene,gene:100005295
gene:100005301,genomic,gene,gene:100005301
gene:100005313,genomic,gene,gene:100005313
gene:100005325,genomic,gene,gene:100005325
gene:100005416,genomic,gene,gene:100005416
gene:100005419,genomic,gene,gene:100005419
gene:100005449,genomic,gene,gene:100005449
gene:100005454,genomic,gene,gene:100005454
gene:100005459,genomic,gene,gene:100005459
gene:100005469,genomic,gene,gene:100005469
gene:100005471,genomic,gene,gene:100005471
gene:100005518,genomic,gene,gene:100005518
gene:100005520,genomic,gene,gene:100005520
gene:100005529,genomic,gene,gene:100005529
gene:100005566,genomic,gene,gene:100005566
gene:100005567,genomic,gene,gene:100005567
gene:100005587,genomic,gene,gene:100005587
gene:100005589,genomic,gene,gene:100005589
gene:100005590,genomic,gene,gene:100005590
gene:100005593,genomic,gene,gene:100005593
gene:100005603,genomic,gene,gene:100005603
gene:100005675,genomic,gene,gene:100005675
gene:100005700,genomic,gene,gene:100005700
gene:100005752,genomic,gene,gene:100005752
gene:100005753,genomic,gene,gene:100005753
gene:100005761,genomic,gene,gene:100005761
gene:100005763,genomic,gene,gene:100005763
gene:100005765,genomic,gene,gene:100005765
gene:100005785,genomic,gene,gene:100005785
gene:100005797,genomic,gene,gene:100005797
gene:100005871,genomic,gene,gene:100005871
gene:100005880,genomic,gene,gene:100005880
gene:100005886,genomic,gene,gene:100005886
gene:100005952,genomic,gene,gene:100005952
gene:100005953,genomic,gene,gene:100005953
gene:100005963,genomic,gene,gene:100005963
gene:100005996,genomic,gene,gene:100005996
gene:100006005,genomic,gene,gene:100006005
gene:100006037,genomic,gene,gene:100006037
gene:100006039,genomic,gene,gene:100006039
gene:100006041,genomic,gene,gene:100006041
gene:100006043,genomic,gene,gene:100006043
gene:100006044,genomic,gene,gene:100006044
gene:100006078,genomic,gene,gene:100006078
gene:100006087,genomic,gene,gene:100006087
gene:100006088,genomic,gene,gene:100006088
gene:100006128,genomic,gene,gene:100006128
gene:100006147,genomic,gene,gene:100006147
gene:100006181,genomic,gene,gene:100006181
gene:100006191,genomic,gene,gene:100006191
gene:100006233,genomic,gene,gene:100006233
gene:100006238,genomic,gene,gene:100006238
gene:100006246,genomic,gene,gene:100006246
gene:100006249,genomic,gene,gene:100006249
gene:100006279,genomic,gene,gene:100006279
gene:100006303,genomic,gene,gene:100006303
gene:100006305,genomic,gene,gene:100006305
gene:100006328,genomic,gene,gene:100006328
