keyge,group,category,description
chem:c000604051,environment,chemicals,c000604051
chem:c000604114,environment,chemicals,c000604114
chem:c000604132,environment,chemicals,c000604132
chem:c000604217,environment,chemicals,c000604217
chem:c000604219,environment,chemicals,c000604219
chem:c000604281,environment,chemicals,c000604281
chem:c000604515,environment,chemicals,c000604515
chem:c000604516,environment,chemicals,c000604516
chem:c000604517,environment,chemicals,c000604517
chem:c000604573,environment,chemicals,c000604573
chem:c000604580,environment,chemicals,c000604580
chem:c000604601,environment,chemicals,c000604601
chem:c000604653,environment,chemicals,c000604653
chem:c000604698,environment,chemicals,c000604698
chem:c000604795,environment,chemicals,c000604795
chem:c000604852,environment,chemicals,c000604852
chem:c000604908,environment,chemicals,c000604908
chem:c000604982,environment,chemicals,c000604982
chem:c000605003,environment,chemicals,c000605003
chem:c000605226,environment,chemicals,c000605226
chem:c000605331,environment,chemicals,c000605331
chem:c000605748,environment,chemicals,c000605748
chem:c000606134,environment,chemicals,c000606134
chem:c000606252,environment,chemicals,c000606252
chem:c000606272,environment,chemicals,c000606272
chem:c000606289,environment,chemicals,c000606289
chem:c000606526,environment,chemicals,c000606526
chem:c000606543,environment,chemicals,c000606543
chem:c000606545,environment,chemicals,c000606545
chem:c000606551,environment,chemicals,c000606551
chem:c000606649,environment,chemicals,c000606649
chem:c000606936,environment,chemicals,c000606936
chem:c000606994,environment,chemicals,c000606994
chem:c000607033,environment,chemicals,c000607033
chem:c000607202,environment,chemicals,c000607202
chem:c000607342,environment,chemicals,c000607342
chem:c000607343,environment,chemicals,c000607343
chem:c000607554,environment,chemicals,c000607554
chem:c000607970,environment,chemicals,c000607970
chem:c000608118,environment,chemicals,c000608118
chem:c000608121,environment,chemicals,c000608121
chem:c000608250,environment,chemicals,c000608250
chem:c000608332,environment,chemicals,c000608332
chem:c000608473,environment,chemicals,c000608473
chem:c000608559,environment,chemicals,c000608559
chem:c000608699,environment,chemicals,c000608699
chem:c000608764,environment,chemicals,c000608764
chem:c000608765,environment,chemicals,c000608765
chem:c000609116,environment,chemicals,c000609116
chem:c000609287,environment,chemicals,c000609287
chem:c000609387,environment,chemicals,c000609387
chem:c000609471,environment,chemicals,c000609471
chem:c000609563,environment,chemicals,c000609563
chem:c000609635,environment,chemicals,c000609635
chem:c000609690,environment,chemicals,c000609690
chem:c000609743,environment,chemicals,c000609743
chem:c000609801,environment,chemicals,c000609801
chem:c000609819,environment,chemicals,c000609819
chem:c000609888,environment,chemicals,c000609888
chem:c000609924,environment,chemicals,c000609924
chem:c000610085,environment,chemicals,c000610085
chem:c000610109,environment,chemicals,c000610109
chem:c000610380,environment,chemicals,c000610380
chem:c000611223,environment,chemicals,c000611223
chem:c000611307,environment,chemicals,c000611307
chem:c000611322,environment,chemicals,c000611322
chem:c000611335,environment,chemicals,c000611335
chem:c000611379,environment,chemicals,c000611379
chem:c000611514,environment,chemicals,c000611514
chem:c000611541,environment,chemicals,c000611541
chem:c000611646,environment,chemicals,c000611646
chem:c000611729,environment,chemicals,c000611729
chem:c000612000,environment,chemicals,c000612000
chem:c000612070,environment,chemicals,c000612070
chem:c000612090,environment,chemicals,c000612090
chem:c000612164,environment,chemicals,c000612164
chem:c000612263,environment,chemicals,c000612263
chem:c000612304,environment,chemicals,c000612304
chem:c000612485,environment,chemicals,c000612485
chem:c000612980,environment,chemicals,c000612980
chem:c000613053,environment,chemicals,c000613053
chem:c000613078,environment,chemicals,c000613078
chem:c000613150,environment,chemicals,c000613150
chem:c000613347,environment,chemicals,c000613347
chem:c000613752,environment,chemicals,c000613752
chem:c000613766,environment,chemicals,c000613766
chem:c000613818,environment,chemicals,c000613818
chem:c000613875,environment,chemicals,c000613875
chem:c000613963,environment,chemicals,c000613963
chem:c000613964,environment,chemicals,c000613964
chem:c000613976,environment,chemicals,c000613976
chem:c000613980,environment,chemicals,c000613980
chem:c000614007,environment,chemicals,c000614007
chem:c000614067,environment,chemicals,c000614067
chem:c000614253,environment,chemicals,c000614253
chem:c000614303,environment,chemicals,c000614303
chem:c000614311,environment,chemicals,c000614311
chem:c000614591,environment,chemicals,c000614591
chem:c000614633,environment,chemicals,c000614633
chem:c000614719,environment,chemicals,c000614719
chem:c000614724,environment,chemicals,c000614724
chem:c000614725,environment,chemicals,c000614725
chem:c000614835,environment,chemicals,c000614835
